ID,Organizations,Organization,Source_Type,P1,P2,Total_Annual,Flow,Disbursement_Type,Parish,Receiving_Type,Parish Source_Type,fips
2081,"Louisiana Department of Public Safety, Civil Cost",Louisiana Department of Public Safety,Civil Costs,88,56,144,less,Disbursements to governments & nonprofits,stmary,Public Safety (Parish and/or State),stmary Civil Costs,22101
2082,"State of Louisiana: Division of Administration, Civil Cost",State of Louisiana: Division of Administration,Civil Costs,540,0,540,less,Disbursements to governments & nonprofits,stmary,Misc. State Departments and Offices,stmary Civil Costs,22101
2083,"Louisiana Supreme Court, Cost",Louisiana Supreme Court,Cost,537,520,1057,less,Disbursements to governments & nonprofits,stmary,Louisiana Supreme Court,stmary Cost,22101
2084,"Louisiana Wildlife and Fisheries, Cost",Louisiana Department of Wildlife and Fisheries,Cost,43,62,105,less,Disbursements to governments & nonprofits,stmary,Louisiana Department of Wildlife and Fisheries,stmary Cost,22101
2085,"Chitimacha Police Department, Cost",Chitimacha Police Department,Cost,0,50,50,less,Disbursements to governments & nonprofits,stmary,City/Town Police and Government,stmary Cost,22101
2086,"Franklin Police Department, Cost",Franklin Police Department,Cost,112,0,112,less,Disbursements to governments & nonprofits,stmary,City/Town Police and Government,stmary Cost,22101
2087,"Franklin Police Department, Bond Fees",Franklin Police Department,Bond Fees,2364,581,2945,less,Disbursements to governments & nonprofits,stmary,City/Town Police and Government,stmary Bond Fees,22101
2088,"Morgan City Police Department, Cost",Morgan City Police Department,Cost,106,100,206,less,Disbursements to governments & nonprofits,stmary,City/Town Police and Government,stmary Cost,22101
2089,"Morgan City Police Department, Bond Fees",Morgan City Police Department,Bond Fees,6965,3577,10542,less,Disbursements to governments & nonprofits,stmary,City/Town Police and Government,stmary Bond Fees,22101
2090,"Berwick Police Department, Cost",Berwick Police Department,Cost,1467,5417,6884,less,Disbursements to governments & nonprofits,stmary,City/Town Police and Government,stmary Cost,22101
2091,"Berwick Police Department, Bond Fees",Berwick Police Department,Bond Fees,1229,1140,2369,less,Disbursements to governments & nonprofits,stmary,City/Town Police and Government,stmary Bond Fees,22101
2092,"Patterson Police Department, Cost",Patterson Police Department,Cost,1103,1740,2843,less,Disbursements to governments & nonprofits,stmary,City/Town Police and Government,stmary Cost,22101
2093,"Patterson Police Department, Bond Fees",Patterson Police Department,Bond Fees,1331,3292,4623,less,Disbursements to governments & nonprofits,stmary,City/Town Police and Government,stmary Bond Fees,22101
2094,"Assumption Parish Sheriff Office, Civil Cost",Assumption Parish Clerk of Court,Civil Costs,0,36,36,less,Disbursements to governments & nonprofits,stmary,Parish Clerk of Court,stmary Civil Costs,22101
2095,"Iberia Parish Sheriff Office, Civil Cost",Iberia Parish Sheriff,Civil Costs,315,0,315,less,Disbursements to governments & nonprofits,stmary,Parish Sheriff,stmary Civil Costs,22101
2096,"Jefferson Parish Sheriff Office, Civil Cost",Jefferson Parish Sheriff,Civil Costs,90,125,215,less,Disbursements to governments & nonprofits,stmary,Parish Sheriff,stmary Civil Costs,22101
2097,"Lafayette Parish Sheriff Office, Civil Cost",Lafayette Parish Sheriff,Civil Costs,158,33,191,less,Disbursements to governments & nonprofits,stmary,Parish Sheriff,stmary Civil Costs,22101
2098,"East Baton Rouge Sheriff Office, Civil Cost",East Baton Rouge Sheriff,Civil Costs,30,351,381,less,Disbursements to governments & nonprofits,stmary,Parish Sheriff,stmary Civil Costs,22101
2099,"Lafourche Parish Sheriff, Civil Cost",Lafourche Parish Sheriff,Civil Costs,0,100,100,less,Disbursements to governments & nonprofits,stmary,Parish Sheriff,stmary Civil Costs,22101
2100,"Moorehouse Parish Sheriff Office, Civil Cost",Moorehouse Parish Sheriff,Civil Costs,0,60,60,less,Disbursements to governments & nonprofits,stmary,Parish Sheriff,stmary Civil Costs,22101
2101,"Ouachita Parish Sheriff Office, Civil Cost",Ouachita Parish Sheriff,Civil Costs,0,72,72,less,Disbursements to governments & nonprofits,stmary,Parish Sheriff,stmary Civil Costs,22101
2102,"St. Martin Parish Sheriff Office, Civil Cost",St. Martin Parish Sheriff,Civil Costs,29,71,100,less,Disbursements to governments & nonprofits,stmary,Parish Sheriff,stmary Civil Costs,22101
2103,St. Mary Parish Sheriff: Collection Fee for Collecting/ Disbursing/ to Others Based on Percentage of Collection,St. Mary Parish Sheriff,"Service/Collection Fees (e.g. credit card fees, report fees, 3rd party service fees)",24979,88819,113798,less,Amounts retained by collection agency,stmary,Parish Sheriff,"stmary Service/Collection Fees (e.g. credit card fees, report fees, 3rd party service fees)",22101
2104,"St. Mary Parish Sheriff, Criminal Fines Commission",St. Mary Parish Sheriff,Criminal Fines Fines Commission,12291,11289,23580,less,Amounts retained by collection agency,stmary,Parish Sheriff,stmary Criminal Fines Fines Commission,22101
2105,"St. Mary Parish Sheriff, Credit Card Fees",St. Mary Parish Sheriff,Credit Card Fees,4924,4842,9766,less,Amounts retained by collection agency,stmary,Parish Sheriff,stmary Credit Card Fees,22101
2106,"St. Mary Parish Sheriff, Cost",St. Mary Parish Sheriff,Cost,24434,25703,50137,less,Amounts retained by collection agency,stmary,Parish Sheriff,stmary Cost,22101
2107,"St. Mary Parish Sheriff, Bond Fees",St. Mary Parish Sheriff,Bond Fees,38873,47470,86343,less,Amounts retained by collection agency,stmary,Parish Sheriff,stmary Bond Fees,22101
2108,Garnishment Refunds,Individuals - Garnishment Refunds,Unspecified,1535,1237,2772,less,Disbursements to individuals/3rd party collection or processing agencies,stmary,Individuals - Specified,stmary Unspecified,22101
2109,Civil Fee Refunds,Individuals - Civil Fee Refunds,Unspecified,2426,276048,278474,less,Disbursements to individuals/3rd party collection or processing agencies,stmary,Individuals - Specified,stmary Unspecified,22101
2110,Bond Fee Refunds,Individuals - Bond Fee Refunds,Unspecified,46151,79509,125660,less,Disbursements to individuals/3rd party collection or processing agencies,stmary,Individuals - Specified,stmary Unspecified,22101
2111,Payments to 3rd Party Collection/Processing Agencies/Attorneys,3rd Party Collection/Processing Agencies/Attorneys,Unspecified,116313,98539,214852,less,Disbursements to individuals/3rd party collection or processing agencies,stmary,Collections/Processing,stmary Unspecified,22101
2112,Civil Fees (garnishments),St. Mary Parish Sheriff,Civil Fees (garnishments),118080,81279,199359,more,NAN,stmary,Parish Sheriff,stmary Civil Fees (garnishments),22101
2113,Civil Fees (advance deposits),St. Mary Parish Sheriff,Civil Fees (advance deposits),18200,24833,43033,more,NAN,stmary,Parish Sheriff,stmary Civil Fees (advance deposits),22101
2114,Criminal Fines,St. Mary Parish Sheriff,Criminal Fines,588340,613956,1202296,more,NAN,stmary,Parish Sheriff,stmary Criminal Fines,22101
2115,Bond Fees,St. Mary Parish Sheriff,Bond Fees,126480,57834,184314,more,NAN,stmary,Parish Sheriff,stmary Bond Fees,22101
2116,Asset Forfeiture/ Sale,St. Mary Parish Sheriff,Asset Forfeiture/Sale,25267,458087,483354,more,NAN,stmary,Parish Sheriff,stmary Asset Forfeiture/Sale,22101
2117,21st Judicial Clerk of Court - Bond Fees,21st Judicial District Clerk of Court,Bond Fees,2384,2894,5278,less,Disbursements to governments & nonprofits,tangipahoa,District Courts,tangipahoa Bond Fees,22105
2118,21st Judicial District Attorney-Bond Fees,21st Judicial District Attorney,Bond Fees,97791,99669,197460,less,Disbursements to governments & nonprofits,tangipahoa,District Courts,tangipahoa Bond Fees,22105
2119,21st Judicial District Public Defender - Bond Fees,21st Judicial District Public Defender,Bond Fees,91801,92464,184265,less,Disbursements to governments & nonprofits,tangipahoa,District Indigent/Public Defense,tangipahoa Bond Fees,22105
2120,21st Judicial Expense Fund - Bond Fees,21st Judicial Expense Fund,Bond Fees,89417,89570,178987,less,Disbursements to governments & nonprofits,tangipahoa,Judicial Expense Funds,tangipahoa Bond Fees,22105
2121,Louisiana Dept of Public Safety Crime Lab - Bond Fees,Louisiana State Police Crime Laboratory,Bond Fees,2384,2894,5278,less,Disbursements to governments & nonprofits,tangipahoa,Crime Labs,tangipahoa Bond Fees,22105
2122,Hammond Police Department - Asset Fotleiture Sale,Hammond Police Department,Asset Forfeiture/Sale,0,0,0,less,Disbursements to governments & nonprofits,tangipahoa,City/Town Police and Government,tangipahoa Asset Forfeiture/Sale,22105
2123,Jefferson Parish Sheriff Office -Asset Forfeiture Sale,Jefferson Parish Sheriff,Asset Forfeiture/Sale,0,0,0,less,Disbursements to governments & nonprofits,tangipahoa,Parish Sheriff,tangipahoa Asset Forfeiture/Sale,22105
2124,21st District Attomey Office - Asset Forfeiture Sale,21st Judicial District Attorney,Asset Forfeiture/Sale,0,0,0,less,Disbursements to governments & nonprofits,tangipahoa,District Courts,tangipahoa Asset Forfeiture/Sale,22105
2125,Criminal Court Fund - Asset Forfeiture Sale,Tangipahoa Criminal Court Fund,Asset Forfeiture/Sale,0,0,0,less,Disbursements to governments & nonprofits,tangipahoa,Misc. Funds,tangipahoa Asset Forfeiture/Sale,22105
2126,Acadia Parish- Sheriff Sale,Acadia Parish,Asset Forfeiture/Sale,0,0,0,less,Disbursements to governments & nonprofits,tangipahoa,Parish Government,tangipahoa Asset Forfeiture/Sale,22105
2127,East Baton Rouge Parish Sheriff - Sheriff Sale,East Baton Rouge Parish Sheriff,Asset Forfeiture/Sale,0,0,0,less,Disbursements to governments & nonprofits,tangipahoa,Parish Sheriff,tangipahoa Asset Forfeiture/Sale,22105
2128,Iberia Sheriff - Sheriff Sale,Iberia Parish Sheriff,Asset Forfeiture/Sale,0,0,0,less,Disbursements to governments & nonprofits,tangipahoa,Parish Sheriff,tangipahoa Asset Forfeiture/Sale,22105
2129,Jefferson Sheriff- Sheriff Sale,Jefferson Parish Sheriff,Asset Forfeiture/Sale,60,330,390,less,Disbursements to governments & nonprofits,tangipahoa,Parish Sheriff,tangipahoa Asset Forfeiture/Sale,22105
2130,Livingston Sheriff - Sheriff Sale,Livingston Parish Sheriff,Asset Forfeiture/Sale,533,52,585,less,Disbursements to governments & nonprofits,tangipahoa,Parish Sheriff,tangipahoa Asset Forfeiture/Sale,22105
2131,Pointe Coupee Sheriff - Sheriff Sale,Pointe Coupee Parish Sheriff,Asset Forfeiture/Sale,0,188,188,less,Disbursements to governments & nonprofits,tangipahoa,Parish Sheriff,tangipahoa Asset Forfeiture/Sale,22105
2132,St. Landry Sheriff - Sheriff Sale,St. Landry Parish Sheriff,Asset Forfeiture/Sale,0,140,140,less,Disbursements to governments & nonprofits,tangipahoa,Parish Sheriff,tangipahoa Asset Forfeiture/Sale,22105
2133,St. Tammany Sheriff - Sheriff Sale,St. Tammany Parish Sheriff,Asset Forfeiture/Sale,0,0,0,less,Disbursements to governments & nonprofits,tangipahoa,Parish Sheriff,tangipahoa Asset Forfeiture/Sale,22105
2134,Tangipahoa Tax - Sheriff Sale,Tangipahoa Tax,Asset Forfeiture/Sale,6093,3557,9650,less,Disbursements to governments & nonprofits,tangipahoa,Miscellaneous,tangipahoa Asset Forfeiture/Sale,22105
2135,Tangipahoa Registry Court - Sheriff Sale,Tangipahoa Registry Court,Asset Forfeiture/Sale,73369,122394,195763,less,Disbursements to governments & nonprofits,tangipahoa,Miscellaneous,tangipahoa Asset Forfeiture/Sale,22105
2136,Tangipahoa Clerk- Sheriff Sale,Tangipahoa Clerk of Court,Asset Forfeiture/Sale,5719,18271,23990,less,Disbursements to governments & nonprofits,tangipahoa,Parish Clerk of Court,tangipahoa Asset Forfeiture/Sale,22105
2137,3rd Party - Sheriff Sales,Unspecified - 3rd Party,Asset Forfeiture/Sale,886078,2768433,3654511,less,Disbursements to governments & nonprofits,tangipahoa,Miscellaneous,tangipahoa Asset Forfeiture/Sale,22105
2138,Collection Fee for Collecting/Disbursing to Others Based on Percentage of Collection (enter zero if no activity to report here),Collecting Agency,Service/Collection Fees,33516,96842,130358,less,Amounts retained by collection agency,tangipahoa,Collections/Processing,tangipahoa Service/Collection Fees,22105
2139,Collection Fee for Collecting/Disbursing to Others Based on Fixed Amount (enter zero if no activity to report here),Collecting Agency,Service/Collection Fees,0,0,0,less,Amounts retained by collection agency,tangipahoa,Collections/Processing,tangipahoa Service/Collection Fees,22105
2140,TPSO Bond Fee Disbursements,Collecting Agency,Bond Fees,78508,136920,215428,less,Amounts retained by collection agency,tangipahoa,Collections/Processing,tangipahoa Bond Fees,22105
2141,IWC Fee,Collecting Agency,IWC Fee,646,21631,22277,less,Amounts retained by collection agency,tangipahoa,Collections/Processing,tangipahoa IWC Fee,22105
2142,TPSO Asset Forfeiture Sale Proceeds,Collecting Agency,Asset Forfeiture/Sale,0,0,0,less,Amounts retained by collection agency,tangipahoa,Collections/Processing,tangipahoa Asset Forfeiture/Sale,22105
2143,TPSO Garnishment Collection Fees,Collecting Agency,Garnishment Collection Fee,24048,23386,47434,less,Amounts retained by collection agency,tangipahoa,Collections/Processing,tangipahoa Garnishment Collection Fee,22105
2144,3rd Party - Attorney Garnishment Collections,Unspecified - 3rd Party,Attorney Garnishment Collections,376280,343386,719666,less,Disbursements to individuals/3rd party collection or processing agencies,tangipahoa,Civil Fees/Garnishments/Advance Deposits,tangipahoa Attorney Garnishment Collections,22105
2145,3rd Party - Service Fees,Unspecified - 3rd Party,Service Fees,163128,166034,329162,less,Disbursements to individuals/3rd party collection or processing agencies,tangipahoa,Service/Collection Fees,tangipahoa Service Fees,22105
2146,3rd Party - Closed out Cases,Unspecified - 3rd Party,Closed Out Cases,0,1630373,1630373,less,Disbursements to individuals/3rd party collection or processing agencies,tangipahoa,Miscellaneous,tangipahoa Closed Out Cases,22105
2147,Bond Fee Refunds,Individuals - Bond Fee Refunds,Unspecified,19350,74380,93730,less,Disbursements to individuals/3rd party collection or processing agencies,tangipahoa,Individuals - Specified,tangipahoa Unspecified,22105
2148,Payments to 3rd Party Collection/Processing Agencies,3rd Party Collection/Processing Agencies,Unspecified,0,0,0,less,Disbursements to individuals/3rd party collection or processing agencies,tangipahoa,Collections/Processing,tangipahoa Unspecified,22105
2149,3rd Party - Advanced Payments,Tangipahoa Parish Sheriff,Advance Payment,841268,1038271,1879539,more,NAN,tangipahoa,Parish Sheriff,tangipahoa Advance Payment,22105
2150,3rd Party - Garnishments Collections,Tangipahoa Parish Sheriff,Garnishment Collection,400328,366772,767100,more,NAN,tangipahoa,Parish Sheriff,tangipahoa Garnishment Collection,22105
2151,3rd Party - Sheriff Sales,Tangipahoa Parish Sheriff,Asset Forfeiture/Sale,1034986,3059002,4093988,more,NAN,tangipahoa,Parish Sheriff,tangipahoa Asset Forfeiture/Sale,22105
2152,3rd Party - Bond Fees,Tangipahoa Parish Sheriff,Bond Fees,449125,627182,1076307,more,NAN,tangipahoa,Parish Sheriff,tangipahoa Bond Fees,22105
2153,Criminal Fines - Bonds IWC,Tangipahoa Parish Sheriff,Criminal Fines,0,13332,13332,more,NAN,tangipahoa,Parish Sheriff,tangipahoa Criminal Fines,22105
2154,Interest Earnings on Collected Balances,Tangipahoa Parish Sheriff,Interest,2463,3108,5571,more,NAN,tangipahoa,Parish Sheriff,tangipahoa Interest,22105
2155,21st Clerk of Court - Jury Subpoenas,Tangipahoa Parish Sheriff,21st Clerk of Court - Jury Subpoenas,26520,36941,63461,receipts,NAN,tangipahoa,Parish Sheriff,21st Clerk of Court - Jury Subpoenas,22105
2156,Tangipahoa Parish Government - Jury subpoenas,Tangipahoa Parish Sheriff,Tangipahoa Parish Government - Jury subpoenas,110019,92550,202569,receipts,NAN,tangipahoa,Parish Sheriff,Tangipahoa Parish Government - Jury subpoenas,22105
2157,21st Judicial Dis1rict Attorney Asset Forfeiture Fund-asset Forfeiture/Sale,Tangipahoa Parish Sheriff,21st Judicial Dis1rict Attorney Asset Forfeiture Fund-asset Forfeiture/Sale,24326,43516,67842,receipts,NAN,tangipahoa,Parish Sheriff,21st Judicial Dis1rict Attorney Asset Forfeiture Fund-asset Forfeiture/Sale,22105
2158,"21st Judicial District Court, Criminal Fines-Other",Tangipahoa Parish Sheriff,"21st Judicial District Court, Criminal Fines-Other",46176,77955,124131,receipts,NAN,tangipahoa,Parish Sheriff,"21st Judicial District Court, Criminal Fines-Other",22105
2159,"22nd Judicial District Court, Criminal Court Cost/Fees",Tangipahoa Parish Sheriff,"22nd Judicial District Court, Criminal Court Cost/Fees",14451,23682,38133,receipts,NAN,tangipahoa,Parish Sheriff,"22nd Judicial District Court, Criminal Court Cost/Fees",22105
2160,3rd Justice of Peace - Service Fees,Tangipahoa Parish Sheriff,3rd Justice of Peace - Service Fees,201,219,420,receipts,NAN,tangipahoa,Parish Sheriff,3rd Justice of Peace - Service Fees,22105
2161,Acadia Parish Clerk ofCourt - Service Fees,Tangipahoa Parish Sheriff,Acadia Parish Clerk ofCourt - Service Fees,0,55,55,receipts,NAN,tangipahoa,Parish Sheriff,Acadia Parish Clerk ofCourt - Service Fees,22105
2162,First City Court - Service Fees,Tangipahoa Parish Sheriff,First City Court - Service Fees,0,210,210,receipts,NAN,tangipahoa,Parish Sheriff,First City Court - Service Fees,22105
2163,Ascension Clerk ofCourt - Service Fees,Tangipahoa Parish Sheriff,Ascension Clerk ofCourt - Service Fees,401,30,431,receipts,NAN,tangipahoa,Parish Sheriff,Ascension Clerk ofCourt - Service Fees,22105
2164,Assumption Clerk of Court- Service Fees,Tangipahoa Parish Sheriff,Assumption Clerk of Court- Service Fees,230,69,299,receipts,NAN,tangipahoa,Parish Sheriff,Assumption Clerk of Court- Service Fees,22105
